대여소번호,대여수,반납수,거치대수,(반납-대여)/거치대수,위도,경도,group
0,300,8,19,9,1.2222222222222223,37.56805038,126.9692307,많음
1,310,2,13,8,1.375,37.56887817,126.9774704,많음
2,318,1,10,12,0.75,37.56852722,126.9825516,적정
3,321,1,12,17,0.6470588235294118,37.56546402,126.9841385,적정
4,322,1,8,17,0.4117647058823529,37.56447601,126.986969,적정
5,324,1,9,12,0.6666666666666666,37.56134033,126.9804001,적정
6,332,1,12,5,2.2,37.56599045,126.987793,많음
7,336,3,11,12,0.6666666666666666,37.56261826,126.992836,적정
8,346,4,20,12,1.3333333333333333,37.56918335,127.0098801,많음
9,347,1,6,20,0.25,37.56533051,127.007843,적음
10,370,3,41,24,1.5833333333333333,37.56322861,126.9748383,많음
11,372,4,5,12,0.08333333333333333,37.55429459,127.0112,적음
12,374,7,10,12,0.25,37.5604744,127.0140762,적음
13,379,3,9,9,0.6666666666666666,37.55599976,126.9733582,적정
14,380,3,13,10,1.0,37.56386566,127.0027466,많음
15,382,3,6,9,0.3333333333333333,37.55519867,127.0100479,적정
16,383,5,10,19,0.2631578947368421,37.5658493,127.0164032,적음
17,387,2,10,12,0.6666666666666666,37.56699371,127.0034638,적정
18,389,3,7,12,0.3333333333333333,37.5667305,126.9966049,적정
19,390,3,17,12,1.1666666666666667,37.56138992,126.9953537,많음
20,398,4,6,10,0.2,37.56655884,126.9924393,적음
21,399,4,1,17,-0.17647058823529413,37.55410767,126.9654083,적음
22,428,1,5,12,0.3333333333333333,37.56439972,126.9914322,적정
23,431,16,13,15,-0.2,37.57089996,127.0195236,적음
24,433,6,9,12,0.25,37.56634521,126.9822922,적음
25,441,2,6,15,0.26666666666666666,37.55989075,126.9714966,적음
26,445,4,13,10,0.9,37.56015396,126.9741058,많음
27,467,1,6,16,0.3125,37.5622139,126.9808655,적정
28,468,3,5,10,0.2,37.56415939,126.9794846,적음
29,473,1,14,20,0.65,37.56605148,126.9979858,적정
30,474,1,7,30,0.2,37.56629944,127.0084915,적음
31,475,3,6,16,0.1875,37.56764984,127.0118103,적음
32,476,1,2,10,0.1,37.56443024,127.0099564,적음
33,479,3,2,13,-0.07692307692307693,37.55937576,127.0060272,적음
34,485,3,3,10,0.0,37.55677032,126.9731979,적음
35,826,5,5,22,0.0,37.55536652,126.9686432,적음
36,4766,1,2,18,0.05555555555555555,37.56024551,126.9687805,적음
37,4768,4,19,12,1.25,37.5670166,126.9768372,많음
38,4772,1,6,10,0.5,37.56253433,126.972496,적정
39,4775,3,8,10,0.5,37.56599045,126.9842758,적정
40,4776,1,2,10,0.1,37.56005478,126.9809418,적음
41,4782,2,1,10,-0.1,37.56157303,126.9684906,적음
42,4784,1,3,10,0.2,37.56459045,126.9907684,적음
43,4791,5,10,10,0.5,37.56109619,126.9874649,적정
44,4792,2,6,10,0.4,37.5625267,126.9983139,적정
45,4796,3,11,10,0.8,37.5664711,126.9792557,많음
