위도,경도,cluster
0,37.56805038,126.9692307,E
1,37.56887817,126.97747040000002,D
6,37.56599045,126.987793,C
8,37.56918335,127.0098801,A
10,37.56322861,126.97483829999999,E
14,37.56386566,127.0027466,B
19,37.56138992,126.9953537,B
26,37.56015396,126.97410579999999,E
37,37.5670166,126.97683719999999,D
45,37.5664711,126.9792557,D
9,37.56533051,127.007843,A
11,37.55429459,127.0112,B
12,37.560474400000004,127.0140762,B
16,37.565849299999996,127.01640320000001,A
20,37.56655884,126.99243929999999,C
21,37.55410767,126.96540829999999,E
23,37.57089996,127.0195236,A
24,37.56634521,126.9822922,D
25,37.55989075,126.9714966,E
28,37.56415939,126.97948459999999,D
30,37.56629944,127.0084915,A
31,37.56764984,127.0118103,A
32,37.56443024,127.00995640000001,A
33,37.55937576,127.0060272,B
34,37.55677032,126.9731979,E
35,37.55536652,126.9686432,E
36,37.56024551,126.9687805,E
40,37.56005478,126.98094180000001,D
41,37.56157303,126.9684906,E
42,37.56459045,126.99076840000001,C
