위도,경도,cluster
0,37.56805038,126.9692307,A
1,37.56887817,126.9774704,A
6,37.56599045,126.987793,A
8,37.56918335,127.0098801,B
10,37.56322861,126.9748383,A
14,37.56386566,127.0027466,B
19,37.56138992,126.9953537,B
26,37.56015396,126.9741058,A
37,37.5670166,126.9768372,A
45,37.5664711,126.9792557,A
9,37.56533051,127.007843,A
11,37.55429459,127.0112,A
12,37.5604744,127.0140762,A
16,37.5658493,127.0164032,A
20,37.56655884,126.9924393,B
21,37.55410767,126.9654083,B
23,37.57089996,127.0195236,A
24,37.56634521,126.9822922,B
25,37.55989075,126.9714966,B
28,37.56415939,126.9794846,B
30,37.56629944,127.0084915,A
31,37.56764984,127.0118103,A
32,37.56443024,127.0099564,A
33,37.55937576,127.0060272,A
34,37.55677032,126.9731979,B
35,37.55536652,126.9686432,B
36,37.56024551,126.9687805,B
40,37.56005478,126.9809418,B
41,37.56157303,126.9684906,B
42,37.56459045,126.9907684,B
