위도,경도,cluster
5,37.56447601,126.986969,B
9,37.56261826,126.992836,A
14,37.55429459,127.0112,A
15,37.5604744,127.0140762,A
16,37.55599976,126.9733582,B
19,37.5658493,127.0164032,A
20,37.55978012,126.9685059,B
23,37.56138992,126.9953537,A
25,37.55410767,126.9654083,B
27,37.56217194,127.0062637,A
28,37.57089996,127.0195236,A
33,37.55641556,126.9691925,B
41,37.56035995,126.9826508,B
51,37.55677032,126.9731979,B
52,37.55536652,126.9686432,B
56,37.55664444,126.9736404,B
3,37.56622314,126.9835892,B
4,37.56546402,126.9841385,B
6,37.56134033,126.9804001,B
18,37.55519867,127.0100479,A
21,37.56699371,127.0034638,A
29,37.56634521,126.9822922,B
35,37.56015396,126.9741058,B
36,37.56584167,126.9798126,B
38,37.56415939,126.9794846,B
40,37.55974579,126.9800034,B
48,37.55432129,127.010704,A
60,37.5670166,126.9768372,B
61,37.56253433,126.972496,B
62,37.56590271,126.981781,B
63,37.56599045,126.9842758,B
64,37.56005478,126.9809418,B
70,37.5625267,126.9983139,A
71,37.56430817,127.0064774,A
72,37.5664711,126.9792557,B
