대여소번호,대여수,반납수,거치대수,(반납-대여)/거치대수,위도,경도,group
0,300,16,10,9,-0.6666666666666666,37.56805038,126.9692307,적음
1,310,35,16,8,-2.375,37.56887817,126.9774704,적음
2,318,12,7,12,-0.4166666666666667,37.56852722,126.9825516,적정
3,320,21,10,17,-0.6470588235294118,37.56622314,126.9835892,적음
4,321,24,8,17,-0.9411764705882353,37.56546402,126.9841385,적음
5,322,6,5,17,-0.058823529411764705,37.56447601,126.986969,적정
6,324,14,8,12,-0.5,37.56134033,126.9804001,적음
7,331,11,7,10,-0.4,37.56638336,126.9872055,적정
8,332,16,15,5,-0.2,37.56599045,126.987793,적정
9,336,8,7,12,-0.08333333333333333,37.56261826,126.992836,적정
10,346,19,17,12,-0.16666666666666666,37.56918335,127.0098801,적정
11,347,7,5,20,-0.1,37.56533051,127.007843,적정
12,370,42,19,24,-0.9583333333333334,37.56322861,126.9748383,적음
13,371,5,5,12,0.0,37.55887222,127.0055389,적정
14,372,13,11,12,-0.16666666666666666,37.55429459,127.0112,적정
15,374,21,23,12,0.16666666666666666,37.5604744,127.0140762,많음
16,379,14,14,9,0.0,37.55599976,126.9733582,적정
17,380,14,9,10,-0.5,37.56386566,127.0027466,적음
18,382,13,9,9,-0.4444444444444444,37.55519867,127.0100479,적음
19,383,36,37,19,0.05263157894736842,37.5658493,127.0164032,많음
20,384,4,5,12,0.08333333333333333,37.55978012,126.9685059,많음
21,387,27,8,12,-1.5833333333333333,37.56699371,127.0034638,적음
22,389,4,3,12,-0.08333333333333333,37.5667305,126.9966049,적정
23,390,9,8,12,-0.08333333333333333,37.56138992,126.9953537,적정
24,398,36,24,10,-1.2,37.56655884,126.9924393,적음
25,399,8,9,17,0.058823529411764705,37.55410767,126.9654083,많음
26,428,4,3,12,-0.08333333333333333,37.56439972,126.9914322,적정
27,430,6,5,10,-0.1,37.56217194,127.0062637,적정
28,431,29,27,15,-0.13333333333333333,37.57089996,127.0195236,적정
29,433,26,22,12,-0.3333333333333333,37.56634521,126.9822922,적정
30,434,1,1,12,0.0,37.56148911,127.0239334,적정
31,435,4,5,12,0.08333333333333333,37.55686188,126.9756165,많음
32,441,6,7,15,0.06666666666666667,37.55989075,126.9714966,많음
33,442,3,6,20,0.15,37.55641556,126.9691925,많음
34,443,4,1,9,-0.3333333333333333,37.5621109,126.9707184,적정
35,445,17,13,10,-0.4,37.56015396,126.9741058,적정
36,466,20,1,20,-0.95,37.56584167,126.9798126,적음
37,467,5,3,16,-0.125,37.5622139,126.9808655,적정
38,469,11,2,16,-0.5625,37.5592308,126.9801407,적음
39,470,12,4,20,-0.4,37.55974579,126.9800034,적정
40,471,13,8,10,-0.5,37.56035995,126.9826508,적음
41,472,8,6,12,-0.16666666666666666,37.56787109,126.9889832,적정
42,473,11,9,20,-0.1,37.56605148,126.9979858,적정
43,474,18,19,30,0.03333333333333333,37.56629944,127.0084915,적정
44,475,10,12,16,0.125,37.56764984,127.0118103,많음
45,476,6,6,10,0.0,37.56443024,127.0099564,적정
46,477,3,3,10,0.0,37.55928802,127.0026856,적정
47,479,2,1,13,-0.07692307692307693,37.55937576,127.0060272,적정
48,480,6,7,8,0.125,37.55432129,127.010704,많음
49,481,13,16,16,0.1875,37.56703186,127.0157929,많음
50,482,2,2,10,0.0,37.55994034,127.0184784,적정
51,483,1,2,16,0.0625,37.54758453,127.0064392,많음
52,484,3,1,20,-0.1,37.55614853,126.9774246,적정
53,485,20,21,10,0.1,37.55677032,126.9731979,많음
54,826,18,27,22,0.4090909090909091,37.55536652,126.9686432,많음
55,3013,28,9,10,-1.9,37.56761551,126.9872437,적음
56,4752,10,5,7,-0.7142857142857143,37.55891418,126.964859,적음
57,4753,10,7,10,-0.3,37.56284332,126.9726181,적정
58,4760,1,3,10,0.2,37.55664444,126.9736404,많음
59,4761,5,4,10,-0.1,37.56467056,126.9908829,적정
60,4762,5,4,10,-0.1,37.56693268,126.9825821,적정
61,4765,12,12,20,0.0,37.5683136,127.0094605,적정
62,4766,2,3,18,0.05555555555555555,37.56024551,126.9687805,많음
63,4768,38,31,12,-0.5833333333333334,37.5670166,126.9768372,적음
64,4774,9,6,9,-0.3333333333333333,37.56590271,126.981781,적정
65,4775,16,12,10,-0.4,37.56599045,126.9842758,적정
66,4776,5,2,10,-0.3,37.56005478,126.9809418,적정
67,4778,2,2,10,0.0,37.56520844,126.9874268,적정
68,4781,6,4,10,-0.2,37.56147003,126.9680176,적정
69,4782,5,4,10,-0.1,37.56157303,126.9684906,적정
70,4784,6,6,10,0.0,37.56459045,126.9907684,적정
71,4785,18,4,8,-1.75,37.56689835,126.9877396,적음
72,4791,15,11,10,-0.4,37.56109619,126.9874649,적정
73,4792,12,11,10,-0.1,37.5625267,126.9983139,적정
74,4793,6,5,10,-0.1,37.56430817,127.0064774,적정
75,4796,20,10,10,-1.0,37.5664711,126.9792557,적음
