위도,경도,cluster
15,37.560474400000004,127.0140762,A
19,37.565849299999996,127.01640320000001,A
20,37.55978012,126.96850590000001,B
25,37.55410767,126.96540829999999,B
31,37.55686188,126.9756165,B
32,37.55989075,126.9714966,B
33,37.55641556,126.9691925,B
44,37.56764984,127.0118103,A
48,37.55432129,127.010704,A
49,37.56703186,127.0157929,A
51,37.54758453,127.0064392,A
53,37.55677032,126.9731979,B
54,37.55536652,126.9686432,B
58,37.55664444,126.97364040000001,B
62,37.56024551,126.9687805,B
0,37.56805038,126.9692307,B
1,37.56887817,126.97747040000002,B
3,37.56622314,126.9835892,B
4,37.56546402,126.9841385,B
6,37.56134033,126.9804001,B
12,37.56322861,126.97483829999999,B
17,37.56386566,127.0027466,A
18,37.55519867,127.0100479,A
21,37.56699371,127.0034638,A
24,37.56655884,126.99243929999999,A
36,37.56584167,126.97981259999999,B
38,37.559230799999995,126.9801407,B
40,37.56035995,126.98265079999999,B
55,37.56761551,126.9872437,B
56,37.55891418,126.964859,B
63,37.5670166,126.97683719999999,B
71,37.56689835,126.9877396,B
75,37.5664711,126.9792557,B
